Bedrooms,Bathrooms,LivingArea,Floors,Views,Condition,HouseArea,BasementArea,BuiltYear,PostalCode,SchoolsNearby,Price
5,2.5,3650,2,4,5,3370,280,1921,122003,2,2380000
4,2.5,2920,1.5,0,5,1910,1010,1909,122004,2,1400000
5,2.75,2910,1.5,0,3,2910,0,1939,122004,1,1200000
4,2.5,3310,2,0,3,3310,0,2001,122005,3,838000
3,2,2710,1.5,0,4,1880,830,1929,122006,1,805000
3,2.5,2600,1,0,4,1700,900,1951,122007,1,790000
5,3.25,3660,2,2,3,3660,0,2006,122008,3,785000
3,1.75,2240,2,0,5,1550,690,1923,122006,3,750000
3,2.5,2390,1,2,4,1440,950,1955,122009,1,750000
4,2.25,2200,1.5,0,5,1300,900,1920,122010,2,698000
5,2.5,2820,2,0,3,2820,0,1979,122011,2,675000
4,2,1820,1.5,1,3,1640,180,1945,122006,2,650000
4,2,1520,1.5,0,3,1520,0,1945,122006,3,640000
4,2.75,2710,2,0,3,2710,0,2000,122012,1,630000
3,2.25,1750,2.5,0,3,1470,280,2005,122013,3,626000
4,2.5,2820,2,0,3,2820,0,2014,122014,3,625000
4,3.25,2730,1,0,3,1560,1170,2007,122015,1,625000
3,1.75,2360,1,0,4,1360,1000,1948,122016,2,615000
4,2.5,2730,2,0,3,2730,0,1991,122017,2,612500
3,2.5,3240,2,2,3,3240,0,1995,122018,1,604000
3,1.75,2330,1,0,3,1970,360,1980,122019,1,588500
4,2.5,3310,2,0,3,3310,0,2012,122008,2,555000
4,2.5,1940,1,0,4,1140,800,1976,122005,1,550000
3,1.75,2910,1.5,0,3,2910,0,1979,122020,3,550000
4,2.5,2860,2,0,3,2190,670,2004,122021,3,499950
4,1.75,1600,1,0,3,1130,470,1959,122022,3,495000
4,1.75,2190,1,2,3,2190,0,1968,122023,3,491500
2,1,880,1,0,3,880,0,1938,122006,3,490000
4,2.5,2710,2,0,3,2710,0,1989,122024,3,482000
5,2.5,2210,1,0,3,1460,750,1976,122017,3,470000
3,1.75,1710,1,0,3,1710,0,1948,122014,1,463000
3,2.5,2680,2,0,3,2680,0,2013,122025,2,459990
3,2.5,2430,1,0,4,1570,860,1985,122025,3,452500
3,2.5,1270,3,0,3,1270,0,2001,122026,3,445700
4,2.25,2160,1,0,3,1080,1080,1966,122027,2,440000
2,1,800,1,0,4,800,0,1944,122026,2,440000
3,2.5,1770,2,0,3,1770,0,1990,122009,3,439950
3,2.25,1970,2,0,4,1970,0,1977,122012,2,437500
3,2.5,1770,3,0,3,1600,170,2007,122028,3,436110
4,1,1450,1,0,4,1450,0,1954,122027,2,435000
4,1.5,1920,1,0,4,1070,850,1954,122027,2,430000
3,2.25,2000,1,0,4,1000,1000,1963,122029,1,420000
3,1.5,1570,1,0,4,1570,0,1956,122030,3,419000
3,2.5,1930,2,0,3,1930,0,1996,122015,1,407500
3,2,1960,1,2,5,1650,310,1957,122031,3,403000
4,2.5,3630,1.5,0,3,2300,1330,1979,122023,1,400000
3,3.25,1320,2,0,3,1040,280,2008,122032,2,385000
4,1.75,1560,1,0,4,1560,0,1967,122033,3,382500
4,3,3110,2,0,3,3110,0,1997,122023,3,367500
3,1,1090,1,0,4,1090,0,1955,122034,3,365000
3,2,1930,1,0,4,1930,0,1966,122035,2,342000
2,2,1350,1,0,3,1350,0,1976,122005,1,335000
3,2.25,1580,1,0,4,1580,0,1978,122036,3,335000
3,1,1160,1,0,3,1160,0,1968,122037,1,315000
3,1.5,1340,1.5,0,3,1340,0,1955,122038,3,313000
2,1,850,1,0,4,850,0,1950,122014,1,308500
3,2.5,2540,2,0,3,2540,0,2006,122035,2,300000
2,2.5,1630,2,0,3,1280,350,2009,122034,1,295000
3,3,1850,1,0,4,1090,760,1992,122024,2,287200
4,2.5,2200,2,0,3,2200,0,1987,122039,3,285000
3,2.5,2090,1,0,4,1360,730,1987,122040,2,285000
3,1.75,1800,1,0,3,1800,0,1968,122041,3,284000
3,1.5,1180,1,0,3,1180,0,1983,122025,3,275000
4,2,1480,1,0,4,1480,0,1974,122042,1,260000
3,1.75,1370,1,0,3,1370,0,1987,122043,3,257950
3,1.5,1200,1,0,4,1200,0,1965,122035,3,242500
2,1,1210,1,0,2,1210,0,1949,122034,3,235000
4,2.75,2920,2,0,3,2920,0,2012,122015,1,625000
2,1,900,1,0,3,900,0,1944,122007,1,553000
